Input,,,,Output,,,
Power(W),Speed (mm/s),Layer thickness (mm),,평균 용융풀 너비,평균 용융풀 깊이,용융풀 안정성,결함 발생율
210,1400,0.12,,96.084,38.4336,0.547694984,0
250,1400,0.12,,115.5683333,57.78416667,0.653003087,0
320,1400,0.12,,136.3896667,75.77203704,0.664337286,0.495749378
390,1400,0.12,,142.6933333,95.12888889,0.867497868,0.012490342
460,1400,0.12,,157.0198333,120.7844872,0.790848816,0
110,1100,0.12,,46.80033333,14.62510417,0.725357911,0
140,1100,0.12,,87.106,29.03533333,0.466237617,0
180,1100,0.12,,88.82516667,31.72327381,0.444100321,0
210,1100,0.12,,109.8376667,43.93506667,0.666669196,0.134469586
250,1100,0.12,,122.6055,61.30275,0.54216875,0.419871656
320,1100,0.12,,141.7383333,78.74351852,0.686364015,0.504277005
390,1100,0.12,,154.1546667,102.7697778,0.724357277,0.179646946
460,1100,0.12,,142.3111667,109.4701282,0.834974824,0.084971529
110,950,0.12,,45.77983333,14.30619792,0.254900975,0
140,950,0.12,,98.42633333,32.80877778,0.617554979,0
180,950,0.12,,104.3728333,37.2760119,0.615382631,0
210,950,0.12,,100.9551667,40.38206667,0.575262595,0.011716702
250,950,0.12,,111.9695,55.98475,0.752238495,0.055461813
320,950,0.12,,142.4763333,79.15351852,0.837839116,0.258770045
390,950,0.12,,160.6493333,107.0995556,0.832244133,0.054078392
460,950,0.12,,162.7506667,125.1928205,0.767636011,0.090603885
110,800,0.12,,74.20133333,23.18791667,0.518051255,0
140,800,0.12,,74.9285,24.97616667,0.634375727,0
180,800,0.12,,104.9118333,37.4685119,0.60349448,0.120028849
210,800,0.12,,136.7716667,54.70866667,0.63844188,0.116871066
250,800,0.12,,126.4565,63.22825,0.663317696,0.638910852
320,800,0.12,,156.8291667,87.12731481,0.812362528,0.247981123
390,800,0.12,,172.8751667,115.2501111,0.792080816,0.832126034
460,800,0.12,,172.762,132.8938462,0.806771655,0.219837293
110,600,0.12,,83.811,26.1909375,0.585367853,0
140,600,0.12,,108.4526667,36.15088889,0.604946676,0.814107054
180,600,0.12,,122.4136667,43.71916667,0.704000148,0.251691034
210,600,0.12,,131.9961667,52.79846667,0.8280414,0.099906985
250,600,0.12,,159.5031667,79.75158333,0.761602972,0.560353678
320,600,0.12,,166.571,92.53944444,0.689920934,0.511578739
390,600,0.12,,182.4256667,121.6171111,0.822519198,0.128455062
460,600,0.12,,193.5053333,148.8502564,0.818670543,0.388825204
110,400,0.12,,103.4336667,32.32302083,0.70117898,0.349956093
140,400,0.12,,132.1871667,44.06238889,0.687804577,0
180,400,0.12,,137.1168333,48.97029762,0.69709553,0.018477472
210,400,0.12,,157.0201667,62.80806667,0.7830807,0
250,400,0.12,,183.763,91.8815,0.8150926,0.016353209
320,400,0.12,,178.9246667,99.40259259,0.838900032,0
390,400,0.12,,183.5721667,122.3814444,0.773061667,0
460,400,0.12,,197.1746667,151.6728205,0.873918739,0.129831244
